,192.168.1.1,192.168.1.2,192.168.1.3,192.168.1.4,192.168.1.5,192.168.1.6,192.168.1.7,192.168.1.8,192.168.1.9,192.168.1.10,192.168.1.11,192.168.1.12,192.168.1.13,192.168.1.14,192.168.1.15,192.168.1.16,192.168.1.17,192.168.1.18,192.168.1.19,192.168.1.20,192.168.1.21,192.168.1.22,192.168.1.23,192.168.1.24,192.168.1.25,192.168.1.26,192.168.1.27,192.168.1.28,192.168.1.29,192.168.1.30,192.168.1.31,192.168.1.32,192.168.1.33,192.168.1.34,192.168.1.35,192.168.1.36,192.168.1.37,192.168.1.38,192.168.1.39,192.168.1.40,192.168.1.41,192.168.1.42,192.168.1.43,192.168.1.44,192.168.1.45,192.168.1.46,192.168.1.47,192.168.1.48,192.168.1.49,192.168.1.50
192.168.1.1,0,407,358,86,292,145,407,229,289,365,6,273,230,206,218,131,289,192,366,279,331,124,148,397,321,292,453,160,406,36,89,131,134,414,464,312,94,330,116,422,243,39,477,463,481,126,332,194,239,87
192.168.1.2,23,0,390,215,451,258,341,99,6,345,261,318,32,295,396,378,346,98,87,247,366,285,50,179,464,375,195,386,101,369,420,265,191,492,150,317,470,119,380,152,252,388,29,118,103,165,59,175,50,463
192.168.1.3,325,282,0,24,208,386,87,17,11,11,97,369,265,284,441,250,59,243,198,318,419,357,264,184,98,126,88,309,98,109,478,176,220,28,277,249,461,337,391,300,124,14,387,77,241,46,8,66,330,334
192.168.1.4,169,458,224,0,311,155,0,230,62,76,301,73,30,9,303,76,70,16,115,314,316,460,238,294,98,57,146,413,213,319,272,176,323,237,175,454,408,462,445,23,289,244,444,129,334,134,276,104,463,169
192.168.1.5,457,37,26,163,0,222,398,374,81,401,499,347,468,83,22,473,448,492,157,416,458,429,476,384,426,275,28,487,320,262,193,35,274,373,489,106,60,355,384,360,405,296,36,34,368,4,380,23,154,89
192.168.1.6,297,37,161,374,474,0,440,451,25,404,194,20,96,420,260,285,137,9,277,315,190,460,488,383,152,223,303,94,93,175,337,73,385,455,366,349,235,248,302,381,478,146,254,191,425,192,485,318,144,233
192.168.1.7,421,188,452,335,235,273,0,195,280,287,357,307,288,357,336,140,408,313,301,197,437,274,444,401,103,246,475,333,288,55,304,460,124,182,313,375,480,51,93,173,458,68,393,251,63,262,138,156,225,131
192.168.1.8,186,480,411,207,455,380,183,0,252,80,235,178,107,161,433,44,97,146,491,349,248,51,215,277,277,291,245,448,380,447,184,189,205,78,368,40,64,351,306,271,428,414,461,173,500,147,90,285,107,38
192.168.1.9,28,328,48,98,42,278,236,322,0,207,236,379,257,201,161,422,141,470,153,79,134,421,110,471,62,431,52,66,188,162,407,252,217,74,274,446,33,242,233,433,276,188,349,69,304,420,188,89,471,145
192.168.1.10,382,376,78,443,416,76,104,173,251,0,195,56,258,242,34,445,239,171,302,32,107,8,164,429,11,420,307,76,364,215,270,204,277,489,109,15,395,54,422,30,365,496,15,476,376,121,339,71,153,280
